age,income,loan_amount,credit_score,employment_years,debt_to_income_ratio,overdue_times,loan_term,has_house,has_car,default
26,106039.73,92041.9,631,0,0.67,1,48,0,0,0
30,113364.32,58234.85,726,0,0.42,2,36,0,0,0
25,180978.75,152509.64,664,4,0.516,2,24,0,1,0
38,100480.36,57941.14,584,8,0.24,2,24,0,1,0
47,118104.45,77853.45,638,19,0.264,1,60,1,0,1
47,163506.1,76413.66,635,19,0.255,0,12,1,1,0
39,56245.33,68239.81,601,10,0.95,3,60,0,0,1
55,95953.2,100052.89,696,33,0.774,0,24,0,0,0
43,158438.06,74599.97,680,14,0.246,2,48,1,1,0
24,112366.38,56068.63,525,1,0.176,1,24,0,1,1
51,211144.97,217267.26,520,24,0.757,8,60,0,1,1
43,53682.08,74436.9,696,14,0.95,5,12,1,1,1
46,50995.83,24998.89,591,18,0.399,1,36,0,0,0
43,154254.47,164331.14,686,19,0.811,1,60,0,1,0
43,161073.05,110007.24,726,18,0.34,0,24,0,0,0
24,100011.2,76880.67,552,0,0.607,2,24,1,1,1
43,130636.96,91411.96,540,22,0.449,0,60,0,1,1
52,152564.56,92506.83,802,23,0.421,1,60,1,1,0
33,75641.59,71102.14,690,11,0.53,2,12,0,1,0
45,79373.37,88727.8,624,19,0.922,2,36,1,0,0
22,118821.4,76465.25,581,0,0.301,1,24,1,0,0
34,163871.86,96310.44,617,13,0.278,0,24,1,0,0
38,64558.0,54213.6,559,6,0.414,2,36,0,1,1
60,99800.01,59548.42,735,35,0.492,3,24,0,1,0
29,97742.67,73563.02,594,8,0.592,2,36,0,1,1
32,131673.62,113528.71,753,4,0.441,1,24,1,0,0
37,108671.6,99752.47,626,10,0.401,0,60,0,1,1
60,85336.06,126446.82,571,32,0.544,1,36,0,0,0
55,191349.06,92298.38,624,25,0.367,0,24,0,1,0
22,85590.89,22396.15,437,0,0.176,3,60,1,0,0
30,95660.11,43214.09,650,0,0.348,1,60,0,0,0
53,53307.17,10000.0,646,28,0.145,1,24,1,0,0
23,79131.66,54903.43,730,0,0.595,1,60,0,0,0
55,137617.62,112449.45,500,33,0.49,1,24,0,1,1
32,126029.45,94960.83,759,4,0.638,2,24,0,1,0
57,142883.18,130121.03,730,33,0.557,0,36,1,0,0
32,139796.35,114502.36,766,3,0.635,0,24,0,1,0
38,279140.72,216475.76,656,8,0.528,1,48,1,1,1
47,77921.99,52607.17,746,16,0.61,1,36,0,1,1
26,52641.46,28915.97,535,0,0.314,2,60,1,0,1
43,67999.2,42101.43,721,21,0.473,3,24,0,1,0
41,79487.63,64068.21,594,19,0.571,3,24,1,1,1
52,70372.15,67193.81,520,20,0.906,3,36,0,1,0
60,113794.26,68538.88,564,35,0.239,3,24,0,0,0
47,191701.49,132526.65,660,26,0.49,1,60,1,1,0
37,218130.02,106391.93,590,13,0.239,2,48,1,0,1
37,136890.8,32406.03,692,6,0.208,1,48,0,0,0
37,285950.07,127796.55,506,12,0.369,3,48,0,1,1
53,92932.82,101414.53,479,32,0.815,4,24,0,1,1
33,52332.16,32214.11,777,4,0.393,0,24,0,1,0
27,175243.22,87069.17,737,4,0.377,1,36,0,1,0
34,50000.0,72052.78,571,9,0.95,3,60,1,0,1
21,77671.89,90393.15,660,0,0.608,4,24,0,0,1
25,137867.8,76135.95,747,0,0.465,1,12,1,0,0
24,104185.51,69044.21,696,0,0.436,1,48,0,1,1
51,100114.64,127556.52,673,20,0.642,4,24,0,1,1
49,64128.52,82135.62,753,24,0.95,3,36,1,0,0
48,108568.75,52044.23,598,25,0.173,0,12,0,1,0
39,171381.63,87112.09,663,17,0.398,1,36,0,1,0
49,110082.52,39581.93,658,26,0.227,2,36,1,1,0
27,75086.67,62064.4,637,1,0.604,4,60,1,1,1
57,62230.95,68352.15,627,35,0.488,2,48,1,0,0
41,75787.03,87031.01,666,16,0.897,2,12,0,0,0
58,130163.96,97003.01,663,27,0.584,1,48,0,1,1
27,127340.64,128696.26,571,0,0.803,5,48,0,1,1
40,76097.58,30836.22,728,12,0.255,3,48,1,0,0
48,50000.0,60409.28,577,17,0.887,1,60,0,0,0
40,131795.37,135619.43,641,10,0.699,2,48,1,0,0
38,72840.81,37285.78,635,10,0.251,1,24,0,1,1
27,148758.3,79063.53,690,0,0.193,1,36,0,0,0
36,77633.22,33422.52,480,14,0.258,2,36,1,0,1
30,69943.62,54452.87,736,0,0.653,3,36,1,0,0
33,116882.84,118278.18,602,9,0.55,1,60,0,1,1
48,315200.64,269502.34,764,19,0.684,2,36,1,1,0
46,152827.25,77555.12,619,15,0.372,2,24,1,1,0
45,115994.57,80057.8,656,19,0.388,1,60,1,1,0
35,128217.48,65616.74,823,13,0.179,1,48,0,0,0
59,50000.0,65167.04,636,34,0.793,5,24,0,0,1
24,65837.63,54512.82,765,0,0.485,2,60,0,0,0
34,50000.0,73756.66,663,2,0.639,3,36,0,0,1
25,237623.62,70520.05,695,0,0.25,1,36,1,1,0
34,216928.64,134782.09,666,7,0.574,1,36,1,1,0
59,130192.36,93912.99,732,27,0.305,4,60,1,1,0
35,115936.95,101139.3,602,9,0.426,2,24,0,0,1
57,54273.13,60104.09,576,32,0.808,3,24,1,0,1
40,98845.67,48652.06,606,9,0.453,3,48,0,0,0
48,244403.63,171110.61,668,19,0.637,0,60,1,1,0
39,115744.12,109930.68,641,12,0.863,3,12,0,1,0
31,84618.58,143666.72,720,5,0.95,4,24,0,0,1
51,50000.0,66432.37,771,22,0.95,3,60,0,1,1
59,203035.8,194866.12,577,29,0.546,1,48,0,0,0
31,105710.79,39441.85,598,5,0.15,3,36,1,1,0
52,50000.0,38569.51,538,31,0.596,2,36,1,0,1
31,71975.46,14536.36,833,9,0.138,0,36,1,1,0
49,61396.49,47880.68,686,27,0.647,1,48,1,0,0
52,102817.97,153794.12,701,26,0.95,2,36,0,0,1
38,119766.89,23152.23,546,10,0.163,1,48,1,1,1
50,86990.34,10000.0,660,20,0.064,0,12,0,1,0
31,154766.22,124010.88,703,8,0.419,1,48,0,1,0
24,113035.93,70918.92,639,0,0.505,1,12,1,1,0
24,175965.03,155735.05,751,0,0.574,2,60,0,0,0
38,92898.49,65974.07,850,17,0.325,2,12,0,1,0
57,429508.37,160109.69,579,32,0.214,1,24,0,1,0
26,84624.58,78448.07,573,2,0.77,5,24,0,1,1
39,72656.74,14886.69,585,8,0.185,0,24,1,1,0
49,68745.38,76731.29,797,17,0.9,6,36,1,0,0
29,99218.19,90133.91,749,0,0.709,2,48,0,0,0
49,50322.56,26064.0,648,22,0.434,1,60,1,0,0
33,124561.3,116278.81,663,7,0.439,4,36,1,0,0
53,50000.0,58436.45,591,29,0.815,3,36,0,0,1
44,117330.72,85400.11,736,14,0.514,0,24,1,1,0
42,59393.3,85724.81,628,20,0.95,5,48,0,0,1
28,91896.48,161019.47,638,4,0.629,3,12,0,0,0
39,143206.54,123775.76,712,17,0.806,3,24,1,1,0
55,307680.43,117531.34,644,29,0.3,0,12,1,1,0
21,67164.48,63585.8,640,0,0.344,2,24,0,0,0
51,101962.17,58865.33,661,28,0.382,3,36,0,0,0
40,78771.66,39098.24,728,15,0.195,0,24,0,0,0
49,73759.0,52987.64,800,18,0.512,3,12,1,0,0
47,79083.7,83773.22,710,20,0.658,4,60,1,0,1
38,158075.8,53535.9,728,8,0.275,0,12,1,0,0
33,87585.86,78619.38,643,2,0.626,8,36,0,0,1
46,300195.95,140158.79,600,15,0.384,1,36,1,1,1
26,131556.36,87256.05,716,1,0.379,1,60,1,1,0
44,69251.16,121270.51,675,13,0.95,1,48,0,1,0
24,92501.73,67793.87,539,0,0.637,2,12,0,1,1
46,76051.72,88394.39,632,14,0.864,3,60,0,1,1
46,156377.92,146229.1,653,21,0.475,1,36,1,1,0
24,52184.94,48052.25,617,1,0.87,2,24,0,0,1
51,59669.24,54723.7,786,23,0.771,4,48,1,0,0
37,83600.46,47701.98,701,5,0.491,0,48,1,0,0
52,148349.47,193478.88,777,21,0.466,1,24,1,0,0
22,190018.58,150561.64,682,0,0.67,1,36,1,1,1
28,203057.4,94135.12,667,6,0.223,4,24,1,0,0
40,138470.24,124939.31,580,14,0.591,2,36,1,0,0
28,105103.38,67325.53,661,0,0.495,0,60,0,0,1
34,155995.37,126662.6,661,7,0.484,1,36,0,1,0
47,65184.35,44177.6,544,22,0.336,2,60,1,1,1
26,50000.0,41904.54,614,1,0.545,3,24,1,0,1
48,132785.05,22600.16,633,27,0.09,2,48,1,1,0
25,69386.3,10000.0,695,1,0.104,0,60,0,0,0
28,105938.28,69611.1,699,0,0.273,2,48,0,0,0
44,115131.72,95605.31,611,21,0.494,1,12,1,0,0
52,121985.05,126429.91,700,20,0.731,2,24,0,1,1
27,166376.1,88372.42,645,6,0.502,2,12,1,0,1
32,158646.52,66660.78,416,4,0.272,1,36,0,1,1
58,119103.72,134061.27,619,32,0.682,2,60,1,0,0
60,89419.42,91367.4,752,30,0.95,3,36,0,0,0
44,114518.65,109035.9,517,13,0.862,3,24,1,1,1
38,83425.17,81772.91,670,11,0.739,5,24,0,0,1
34,99868.24,144770.07,795,6,0.95,1,36,0,1,0
45,354398.77,281358.74,595,16,0.407,4,36,0,0,1
44,118419.11,72280.72,660,17,0.442,3,24,1,1,0
32,133600.63,109059.02,549,9,0.694,4,48,1,1,1
21,79422.24,41906.47,798,0,0.495,0,12,1,0,0
27,172651.96,102746.44,653,4,0.269,1,48,1,0,0
59,153602.38,128604.67,664,33,0.431,0,36,0,1,0
37,154092.55,202114.14,775,9,0.95,1,24,0,1,0
40,120174.61,10000.0,716,17,0.072,5,48,0,1,0
39,173752.22,126314.55,586,16,0.567,5,48,0,1,1
52,193350.2,118614.07,605,22,0.253,1,36,0,0,0
23,123920.38,123242.41,702,0,0.77,3,48,0,0,0
24,103613.66,106327.55,607,1,0.648,1,36,0,1,1
32,163171.48,94317.53,480,3,0.331,3,24,0,1,1
40,72630.75,96091.38,655,11,0.662,2,60,0,0,0
47,78977.47,130437.36,534,17,0.893,1,60,0,0,1
40,106512.2,143859.3,797,10,0.907,1,12,0,1,1
38,50000.0,52900.54,675,6,0.473,2,60,0,1,0
58,158327.01,168673.29,583,31,0.698,2,48,0,1,0
27,70734.5,36555.4,601,3,0.196,1,12,0,0,0
43,88241.18,46894.23,499,12,0.317,2,36,0,0,1
42,99113.82,21140.14,567,18,0.198,0,12,0,0,0
39,111043.7,116515.02,746,15,0.832,1,36,0,1,0
53,93466.28,96552.58,850,23,0.404,3,60,0,1,0
31,105839.92,30875.24,722,0,0.222,1,36,0,1,0
59,106209.36,93775.56,652,34,0.413,5,36,0,0,0
34,89217.82,77015.03,623,5,0.548,2,24,1,0,1
42,77038.65,60469.75,579,10,0.413,1,36,1,0,1
41,177488.88,97614.18,835,11,0.501,1,48,1,1,0
54,50000.0,49931.62,644,33,0.382,3,24,0,1,0
38,99451.78,148741.61,840,10,0.95,2,36,0,0,0
32,88344.15,122375.99,778,9,0.95,3,36,0,1,1
21,131722.95,129993.78,512,0,0.56,1,48,1,1,1
35,56702.2,60743.8,603,14,0.94,3,48,1,0,1
54,87124.78,96598.79,603,22,0.658,4,48,0,0,0
21,104186.53,90208.4,653,0,0.666,1,36,0,1,0
56,176580.67,172118.7,655,30,0.802,3,36,1,1,0
42,126688.07,98208.97,850,19,0.405,0,48,0,1,0
26,64050.7,80825.51,568,0,0.496,2,48,0,0,1
33,87608.69,102457.72,679,8,0.95,3,36,0,1,1
43,162547.1,43224.88,712,14,0.13,2,60,1,0,0
33,63554.39,58493.61,660,12,0.837,5,24,1,1,1
25,105304.36,33071.15,669,0,0.169,3,12,1,1,0
47,108650.96,35025.2,571,16,0.193,2,60,0,1,0
47,91711.0,10000.0,669,15,0.066,0,12,1,0,0
25,366989.42,250910.22,703,2,0.431,0,60,1,1,0
32,90605.56,101669.89,688,7,0.95,3,36,0,0,1
30,133571.78,118939.36,708,5,0.443,0,60,1,1,0
47,77277.99,37751.74,780,20,0.349,1,36,1,0,0
50,138342.34,97099.36,740,23,0.37,1,60,0,1,0
50,161434.44,149407.17,666,28,0.397,3,48,0,1,0
58,83735.32,115655.39,560,28,0.723,3,36,0,0,1
51,106445.05,77889.54,609,28,0.499,1,36,1,1,0
33,72920.43,45190.89,641,9,0.443,3,12,1,0,0
25,65187.19,40582.0,681,0,0.316,0,24,0,1,0
45,173956.05,122815.22,619,16,0.665,2,60,1,1,0
57,85024.91,50212.93,580,32,0.335,1,24,0,0,0
60,50000.0,51476.81,559,29,0.874,1,48,1,1,1
30,241448.21,68449.61,520,5,0.105,3,36,1,1,1
30,76043.22,67480.79,640,3,0.681,1,24,0,0,1
22,97648.75,82447.51,535,0,0.449,2,60,0,1,0
26,228298.2,139020.49,575,3,0.409,2,12,0,1,1
43,102356.39,39488.87,627,17,0.329,3,36,0,1,1
42,101366.56,88012.86,546,15,0.682,4,36,0,1,1
35,62775.62,53094.11,692,5,0.479,5,12,0,1,1
33,52277.68,45313.75,723,8,0.684,4,24,0,0,0
54,101227.54,41741.5,613,23,0.247,0,48,0,0,0
39,128446.07,75902.22,623,11,0.229,1,12,0,1,1
53,125177.3,111678.93,706,32,0.669,1,48,1,1,0
59,87854.08,79281.42,599,30,0.823,5,48,0,1,1
33,110096.88,66073.4,593,6,0.24,1,12,0,1,0
29,50000.0,27053.62,762,4,0.413,2,24,0,1,0
59,134198.48,74249.82,735,33,0.472,0,24,0,1,0
46,117316.73,116044.98,711,22,0.7,0,48,0,1,0
32,265175.57,219747.11,739,4,0.531,2,36,1,1,0
45,109465.62,79603.62,492,18,0.358,2,12,0,0,1
41,71381.84,32821.0,775,15,0.214,0,36,0,0,0
57,106635.8,27631.01,693,33,0.152,2,36,1,1,0
31,94135.46,109483.32,746,6,0.855,1,48,0,0,1
60,132669.79,46033.56,693,34,0.187,0,12,1,1,0
58,110426.06,95437.53,664,32,0.556,1,12,1,0,0
28,61884.44,75867.4,637,4,0.87,5,36,0,1,1
27,52256.29,79683.25,691,0,0.726,2,48,1,1,1
42,122799.56,94024.06,634,19,0.609,0,48,0,0,0
22,203292.59,70215.62,734,0,0.251,0,24,0,0,0
32,113063.69,125112.67,525,10,0.78,3,24,1,1,1
38,157311.6,158125.97,614,12,0.64,2,48,0,0,1
59,172088.49,81637.96,834,29,0.27,0,12,0,0,0
60,123014.35,82996.14,607,30,0.458,0,36,0,1,0
27,75620.21,58797.81,640,0,0.629,2,36,0,0,1
56,119120.23,94206.49,585,27,0.612,0,24,0,0,0
24,187809.38,101477.05,689,3,0.428,2,36,1,0,0
50,138475.78,98539.56,597,25,0.338,2,24,0,0,1
54,152773.3,49617.31,644,26,0.266,1,36,1,1,0
56,88597.08,19585.2,732,26,0.122,1,24,0,1,0
29,99602.33,77260.98,601,2,0.38,3,36,1,0,1
56,103421.97,104861.19,727,25,0.429,0,36,0,0,0
25,106606.3,74840.35,730,1,0.595,2,12,0,0,0
41,184532.57,122287.64,750,19,0.48,0,36,1,0,0
39,50000.0,56073.04,672,17,0.95,3,48,0,1,0
33,110607.4,81324.64,850,6,0.505,0,60,0,1,0
21,105263.99,22944.49,750,0,0.189,2,24,1,0,0
51,58854.55,64128.73,688,27,0.745,3,24,1,1,1
34,147605.03,72637.26,586,4,0.363,2,24,0,1,1
47,78745.38,67620.93,652,18,0.33,3,60,0,0,1
37,92905.24,100624.28,781,12,0.814,2,36,0,1,0
35,250684.85,183793.44,805,12,0.52,0,24,1,1,0
56,171869.05,83964.43,786,27,0.242,0,48,0,1,0
24,141282.84,159889.4,727,0,0.473,1,12,0,1,0
50,129488.79,106718.44,553,27,0.46,1,36,0,1,1
50,101305.3,26277.6,701,26,0.1,0,36,0,0,0
36,268262.1,134162.3,554,10,0.355,2,48,0,1,1
31,156525.69,91766.28,534,4,0.397,2,48,1,1,0
21,77862.72,35463.01,680,0,0.41,0,24,1,1,0
58,58101.92,49403.66,704,26,0.562,1,48,0,0,1
58,140797.38,131132.93,737,33,0.734,1,36,0,0,0
30,106389.15,92015.27,702,5,0.647,0,24,0,1,0
22,57352.85,82543.17,705,1,0.95,7,60,1,1,1
25,132304.82,90321.5,576,0,0.367,2,48,0,0,1
23,96658.34,53259.56,651,0,0.33,1,60,1,1,0
54,138524.05,40175.48,532,22,0.122,2,48,0,1,0
56,133090.3,63312.69,490,30,0.352,0,24,0,1,1
27,82973.88,57525.37,723,0,0.368,0,36,0,0,0
50,145042.22,133419.34,596,27,0.625,2,36,0,1,0
28,87198.53,123299.14,734,6,0.95,7,12,1,0,1
35,89787.69,14752.7,754,5,0.125,1,36,1,1,0
44,85860.39,84632.06,607,14,0.503,4,36,0,0,1
49,181486.85,136367.8,710,22,0.495,1,12,1,1,0
55,96157.47,29385.26,604,34,0.217,3,60,1,0,0
22,202318.7,184318.35,503,0,0.784,2,24,1,1,1
28,243425.98,233750.55,670,3,0.793,1,36,0,1,1
32,78243.14,98754.03,620,0,0.68,3,48,1,0,1
33,50000.0,77649.52,623,2,0.95,0,36,0,0,1
60,174560.96,85914.69,828,29,0.216,0,24,1,1,0
52,93537.03,70948.21,530,23,0.391,3,36,0,1,0
33,73881.38,88341.06,693,4,0.443,3,48,0,1,1
59,83706.91,67049.93,575,32,0.43,2,60,1,0,0
40,90520.7,64059.93,737,19,0.423,1,24,0,0,0
41,195582.37,146773.78,685,16,0.371,1,12,1,1,0
38,117237.85,119855.68,692,9,0.366,1,36,0,0,0
26,194389.54,174914.54,580,0,0.321,1,24,0,1,1
58,136270.76,41953.36,595,31,0.278,0,48,0,1,0
21,94925.36,107578.65,739,0,0.896,0,48,0,0,0
27,91522.42,16598.17,811,6,0.139,2,48,1,1,0
30,140466.45,120936.14,701,4,0.707,1,60,0,1,0
32,157817.02,68278.66,584,5,0.332,2,36,0,0,0
26,170852.64,177526.6,689,0,0.402,0,60,1,1,0
21,96984.62,106353.31,850,0,0.95,1,48,0,1,0
48,118047.53,76695.31,669,25,0.395,1,24,1,0,0
59,141891.53,151531.37,784,34,0.664,1,48,1,1,0
25,91786.06,49156.75,597,2,0.472,1,48,1,1,1
32,65465.4,64370.87,656,5,0.465,3,60,1,1,0
41,75900.46,27230.8,713,13,0.193,1,24,0,1,0
58,97883.58,92555.2,694,28,0.816,1,24,0,1,0
48,146971.39,106561.87,595,16,0.48,4,60,1,1,1
51,192247.69,84596.09,591,30,0.265,1,12,1,0,0
44,59265.27,65901.94,744,21,0.95,3,48,1,0,0
37,83382.58,66079.22,761,13,0.7,2,36,0,1,0
28,92870.55,50132.26,789,5,0.476,2,24,0,0,0
55,156001.78,190246.25,813,25,0.582,2,24,1,1,0
53,86021.3,50584.94,671,31,0.504,0,48,1,1,0
22,89915.04,105761.88,634,1,0.875,1,12,0,1,1
49,57791.87,71453.74,775,18,0.946,4,48,0,0,0
24,135609.31,105143.34,721,0,0.294,1,48,0,1,0
50,101454.98,36639.74,576,27,0.247,4,48,0,0,1
54,81281.99,61690.12,572,30,0.365,2,36,1,0,0
26,97073.05,90084.75,702,0,0.841,3,12,0,1,0
38,181162.19,173878.26,645,11,0.659,0,48,0,1,1
25,69411.02,41183.87,658,0,0.427,1,24,0,0,1
43,74701.33,50515.55,751,18,0.335,0,24,0,0,0
58,191666.78,57415.67,725,37,0.181,0,60,0,0,0
24,112882.04,86315.58,773,0,0.511,2,24,0,0,1
36,147471.37,51900.28,496,9,0.295,1,24,1,1,0
59,130716.79,152105.09,682,32,0.834,2,60,0,0,0
33,107376.8,57408.62,719,6,0.223,1,12,1,1,0
26,93271.08,77493.52,530,0,0.516,0,24,0,0,1
40,158609.6,42642.02,604,10,0.142,4,36,0,1,1
41,184066.33,84663.45,589,17,0.31,3,48,0,0,1
47,177705.82,88758.01,662,22,0.316,4,60,0,1,0
33,63993.56,48821.94,798,4,0.277,2,48,0,0,0
59,196262.82,161503.68,832,34,0.39,1,60,1,0,0
41,92867.51,104687.42,591,15,0.841,0,12,0,1,0
32,77670.96,40363.74,705,9,0.352,2,36,1,1,0
59,101093.64,77470.19,707,35,0.293,2,12,1,1,1
57,158578.94,102848.44,693,28,0.46,1,60,1,0,0
40,139136.24,58196.49,694,9,0.273,3,60,1,1,0
21,97253.49,101495.91,686,0,0.459,2,24,0,1,0
44,159046.14,99554.22,803,20,0.22,0,60,1,1,0
43,116184.79,55991.53,754,21,0.266,1,48,1,1,0
26,84302.17,97305.96,570,4,0.944,3,12,1,1,0
46,79330.99,115612.38,728,21,0.626,1,36,0,0,0
54,131216.73,141423.52,736,27,0.95,4,60,0,1,1
25,105120.97,112222.74,687,0,0.721,0,24,1,1,0
49,58748.6,32968.38,756,18,0.452,1,12,0,1,0
26,159727.21,47315.37,676,5,0.277,0,60,1,0,0
50,87893.07,18788.31,677,21,0.109,2,36,0,0,0
